bbl loader
Vertex 		 Distance from Source
0 				 0
1 				 17
2 				 11
3 				 12
4 				 9
5 				 31
6 				 8
7 				 7
8 				 7
9 				 25
10 				 44
11 				 3
12 				 17
13 				 12
14 				 4
15 				 17
16 				 1
17 				 5
18 				 16
19 				 4
20 				 25
21 				 17
22 				 19
23 				 7
24 				 6
25 				 18
26 				 30
27 				 7
28 				 20
29 				 10
30 				 51
31 				 8
32 				 8
33 				 16
34 				 5
35 				 15
36 				 18
37 				 5
38 				 7
39 				 34
40 				 30
41 				 9
42 				 8
43 				 29
44 				 5
45 				 9
46 				 10
47 				 23
48 				 19
49 				 23
50 				 6
51 				 5
52 				 31
53 				 7
54 				 14
55 				 16
56 				 25
57 				 32
58 				 14
59 				 22
60 				 6
61 				 8
62 				 5
63 				 5
64 				 15
65 				 5
66 				 10
67 				 17
68 				 9
69 				 5
70 				 19
71 				 8
72 				 8
73 				 23
74 				 12
75 				 9
76 				 27
77 				 9
78 				 7
79 				 15
80 				 11
81 				 14
82 				 22
83 				 30
84 				 8
85 				 5
86 				 14
87 				 33
88 				 19
89 				 16
90 				 6
91 				 17
92 				 5
93 				 3
94 				 9
95 				 6
96 				 9
97 				 18
98 				 7
99 				 8

Result = 42 

===============
begin: 357654
end: 1205347
total: 847693
===============
