bbl loader
Vertex 		 Distance from Source
0 				 0
1 				 7
2 				 9
3 				 12
4 				 6
5 				 10
6 				 8
7 				 7
8 				 6
9 				 7
10 				 10
11 				 3
12 				 12
13 				 7
14 				 4
15 				 8
16 				 1
17 				 5
18 				 7
19 				 4
20 				 11
21 				 10
22 				 11
23 				 7
24 				 6
25 				 15
26 				 6
27 				 6
28 				 12
29 				 9
30 				 9
31 				 8
32 				 8
33 				 7
34 				 5
35 				 12
36 				 11
37 				 5
38 				 7
39 				 20
40 				 11
41 				 6
42 				 8
43 				 8
44 				 5
45 				 9
46 				 10
47 				 16
48 				 14
49 				 13
50 				 6
51 				 5
52 				 16
53 				 7
54 				 7
55 				 8
56 				 10
57 				 9
58 				 14
59 				 8
60 				 6
61 				 8
62 				 5
63 				 5
64 				 11
65 				 5
66 				 8
67 				 14
68 				 9
69 				 5
70 				 7
71 				 8
72 				 7
73 				 8
74 				 8
75 				 7
76 				 9
77 				 9
78 				 7
79 				 7
80 				 8
81 				 12
82 				 8
83 				 10
84 				 8
85 				 5
86 				 13
87 				 9
88 				 9
89 				 8
90 				 6
91 				 10
92 				 5
93 				 3
94 				 9
95 				 6
96 				 7
97 				 10
98 				 7
99 				 8

Result = 93 

===============
begin: 380093
end: 1520807
total: 1140714
===============
