bbl loader

 FFT 1024
X[114] -> REAL: 891.730 , IMG: 1915.730 
X[115] -> REAL: 878.464 , IMG: 1902.464 
X[116] -> REAL: 865.416 , IMG: 1889.416 
X[117] -> REAL: 852.583 , IMG: 1876.583 
X[118] -> REAL: 839.957 , IMG: 1863.957 
X[119] -> REAL: 827.535 , IMG: 1851.535 
X[120] -> REAL: 815.310 , IMG: 1839.310 
X[121] -> REAL: 803.278 , IMG: 1827.278 
X[122] -> REAL: 791.435 , IMG: 1815.435 
X[123] -> REAL: 779.775 , IMG: 1803.775 
X[124] -> REAL: 768.294 , IMG: 1792.294 
X[125] -> REAL: 756.988 , IMG: 1780.988 
X[126] -> REAL: 745.852 , IMG: 1769.852 
X[127] -> REAL: 734.883 , IMG: 1758.883 
X[128] -> REAL: 724.077 , IMG: 1748.077 
X[129] -> REAL: 713.430 , IMG: 1737.430 
X[130] -> REAL: 702.938 , IMG: 1726.938 
X[131] -> REAL: 692.598 , IMG: 1716.598 
X[132] -> REAL: 682.406 , IMG: 1706.406 
X[133] -> REAL: 672.358 , IMG: 1696.358 
X[134] -> REAL: 662.453 , IMG: 1686.453 
X[135] -> REAL: 652.685 , IMG: 1676.685 
X[136] -> REAL: 643.053 , IMG: 1667.053 
X[137] -> REAL: 633.554 , IMG: 1657.554 
X[138] -> REAL: 624.184 , IMG: 1648.184 
X[139] -> REAL: 614.941 , IMG: 1638.941 
X[140] -> REAL: 605.822 , IMG: 1629.822 
X[141] -> REAL: 596.824 , IMG: 1620.824 
X[142] -> REAL: 587.945 , IMG: 1611.945 
X[143] -> REAL: 579.182 , IMG: 1603.182 
X[144] -> REAL: 570.533 , IMG: 1594.533 
X[145] -> REAL: 561.996 , IMG: 1585.996 
X[146] -> REAL: 553.567 , IMG: 1577.567 
X[147] -> REAL: 545.246 , IMG: 1569.246 
X[148] -> REAL: 537.029 , IMG: 1561.029 
X[149] -> REAL: 528.915 , IMG: 1552.915 
X[150] -> REAL: 520.902 , IMG: 1544.902 
X[151] -> REAL: 512.987 , IMG: 1536.987 
X[152] -> REAL: 505.169 , IMG: 1529.169 
X[153] -> REAL: 497.446 , IMG: 1521.446 
X[154] -> REAL: 489.815 , IMG: 1513.815 
X[155] -> REAL: 482.276 , IMG: 1506.276 
X[156] -> REAL: 474.826 , IMG: 1498.826 
X[157] -> REAL: 467.463 , IMG: 1491.463 
X[158] -> REAL: 460.187 , IMG: 1484.187 
X[159] -> REAL: 452.994 , IMG: 1476.994 
X[160] -> REAL: 445.885 , IMG: 1469.885 
X[161] -> REAL: 438.856 , IMG: 1462.856 
X[162] -> REAL: 431.907 , IMG: 1455.907 
X[163] -> REAL: 425.037 , IMG: 1449.037 
X[164] -> REAL: 418.243 , IMG: 1442.243 
X[165] -> REAL: 411.524 , IMG: 1435.524 
X[166] -> REAL: 404.879 , IMG: 1428.879 
X[167] -> REAL: 398.307 , IMG: 1422.307 
X[168] -> REAL: 391.806 , IMG: 1415.806 
X[169] -> REAL: 385.376 , IMG: 1409.376 
X[170] -> REAL: 379.014 , IMG: 1403.014 
X[171] -> REAL: 372.719 , IMG: 1396.719 
X[172] -> REAL: 366.491 , IMG: 1390.491 
X[173] -> REAL: 360.329 , IMG: 1384.329 
X[174] -> REAL: 354.230 , IMG: 1378.230 
X[175] -> REAL: 348.194 , IMG: 1372.194 
X[176] -> REAL: 342.220 , IMG: 1366.220 
X[177] -> REAL: 336.307 , IMG: 1360.307 
X[178] -> REAL: 330.454 , IMG: 1354.454 
X[179] -> REAL: 324.660 , IMG: 1348.660 
X[180] -> REAL: 318.923 , IMG: 1342.923 
X[181] -> REAL: 313.244 , IMG: 1337.244 
X[182] -> REAL: 307.620 , IMG: 1331.620 
X[183] -> REAL: 302.051 , IMG: 1326.051 
X[184] -> REAL: 296.536 , IMG: 1320.536 
X[185] -> REAL: 291.075 , IMG: 1315.075 
X[186] -> REAL: 285.666 , IMG: 1309.666 
X[187] -> REAL: 280.308 , IMG: 1304.308 
X[188] -> REAL: 275.001 , IMG: 1299.001 
X[189] -> REAL: 269.743 , IMG: 1293.743 
X[190] -> REAL: 264.535 , IMG: 1288.535 
X[191] -> REAL: 259.375 , IMG: 1283.375 
X[192] -> REAL: 254.262 , IMG: 1278.262 
X[193] -> REAL: 249.196 , IMG: 1273.196 
X[194] -> REAL: 244.176 , IMG: 1268.176 
X[195] -> REAL: 239.202 , IMG: 1263.202 
X[196] -> REAL: 234.272 , IMG: 1258.272 
X[197] -> REAL: 229.386 , IMG: 1253.386 
X[198] -> REAL: 224.543 , IMG: 1248.543 
X[199] -> REAL: 219.743 , IMG: 1243.743 
X[200] -> REAL: 214.984 , IMG: 1238.984 
X[201] -> REAL: 210.267 , IMG: 1234.267 
X[202] -> REAL: 205.591 , IMG: 1229.591 
X[203] -> REAL: 200.954 , IMG: 1224.954 
X[204] -> REAL: 196.357 , IMG: 1220.357 
X[205] -> REAL: 191.799 , IMG: 1215.799 
X[206] -> REAL: 187.279 , IMG: 1211.279 
X[207] -> REAL: 182.797 , IMG: 1206.797 
X[208] -> REAL: 178.352 , IMG: 1202.352 
X[209] -> REAL: 173.944 , IMG: 1197.944 
X[210] -> REAL: 169.572 , IMG: 1193.572 
X[211] -> REAL: 165.235 , IMG: 1189.235 
X[212] -> REAL: 160.933 , IMG: 1184.933 
X[213] -> REAL: 156.666 , IMG: 1180.666 
X[214] -> REAL: 152.433 , IMG: 1176.433 
X[215] -> REAL: 148.234 , IMG: 1172.234 
