bbl loader

 FFT 1024
X[119] -> REAL: 0.000 , IMG: 0.000 
X[120] -> REAL: 815.310 , IMG: 1839.310 
X[121] -> REAL: 0.000 , IMG: 0.000 
X[122] -> REAL: 1266.000 , IMG: 784.000 
X[123] -> REAL: 0.000 , IMG: 0.000 
X[124] -> REAL: 768.294 , IMG: 1792.294 
X[125] -> REAL: 0.000 , IMG: 0.000 
X[126] -> REAL: 1522.000 , IMG: 528.000 
X[127] -> REAL: 0.000 , IMG: 0.000 
X[128] -> REAL: 724.077 , IMG: 1748.077 
X[129] -> REAL: 0.000 , IMG: 0.000 
X[130] -> REAL: 1034.000 , IMG: 1016.000 
X[131] -> REAL: 0.000 , IMG: 0.000 
X[132] -> REAL: 682.406 , IMG: 1706.406 
X[133] -> REAL: 0.000 , IMG: 0.000 
X[134] -> REAL: 1290.000 , IMG: 760.000 
X[135] -> REAL: 0.000 , IMG: 0.000 
X[136] -> REAL: 643.053 , IMG: 1667.053 
X[137] -> REAL: 0.000 , IMG: 0.000 
X[138] -> REAL: 1162.000 , IMG: 888.000 
X[139] -> REAL: 0.000 , IMG: 0.000 
X[140] -> REAL: 605.822 , IMG: 1629.822 
X[141] -> REAL: 0.000 , IMG: 0.000 
X[142] -> REAL: 1418.000 , IMG: 632.000 
X[143] -> REAL: 0.000 , IMG: 0.000 
X[144] -> REAL: 570.533 , IMG: 1594.533 
X[145] -> REAL: 0.000 , IMG: 0.000 
X[146] -> REAL: 1098.000 , IMG: 952.000 
X[147] -> REAL: 0.000 , IMG: 0.000 
X[148] -> REAL: 537.029 , IMG: 1561.029 
X[149] -> REAL: 0.000 , IMG: 0.000 
X[150] -> REAL: 1354.000 , IMG: 696.000 
X[151] -> REAL: 0.000 , IMG: 0.000 
X[152] -> REAL: 505.169 , IMG: 1529.169 
X[153] -> REAL: 0.000 , IMG: 0.000 
X[154] -> REAL: 1226.000 , IMG: 824.000 
X[155] -> REAL: 0.000 , IMG: 0.000 
X[156] -> REAL: 474.826 , IMG: 1498.826 
X[157] -> REAL: 0.000 , IMG: 0.000 
X[158] -> REAL: 1482.000 , IMG: 568.000 
X[159] -> REAL: 0.000 , IMG: 0.000 
X[160] -> REAL: 445.885 , IMG: 1469.885 
X[161] -> REAL: 0.000 , IMG: 0.000 
X[162] -> REAL: 1066.000 , IMG: 984.000 
X[163] -> REAL: 0.000 , IMG: 0.000 
X[164] -> REAL: 418.243 , IMG: 1442.243 
X[165] -> REAL: 0.000 , IMG: 0.000 
X[166] -> REAL: 1322.000 , IMG: 728.000 
X[167] -> REAL: 0.000 , IMG: 0.000 
X[168] -> REAL: 391.806 , IMG: 1415.806 
X[169] -> REAL: 0.000 , IMG: 0.000 
X[170] -> REAL: 1194.000 , IMG: 856.000 
X[171] -> REAL: 0.000 , IMG: 0.000 
X[172] -> REAL: 366.491 , IMG: 1390.491 
X[173] -> REAL: 0.000 , IMG: 0.000 
X[174] -> REAL: 1450.000 , IMG: 600.000 
X[175] -> REAL: 0.000 , IMG: 0.000 
X[176] -> REAL: 342.220 , IMG: 1366.220 
X[177] -> REAL: 0.000 , IMG: 0.000 
X[178] -> REAL: 1130.000 , IMG: 920.000 
X[179] -> REAL: 0.000 , IMG: 0.000 
X[180] -> REAL: 318.923 , IMG: 1342.923 
X[181] -> REAL: 0.000 , IMG: 0.000 
X[182] -> REAL: 1386.000 , IMG: 664.000 
X[183] -> REAL: 0.000 , IMG: 0.000 
X[184] -> REAL: 296.536 , IMG: 1320.536 
X[185] -> REAL: 0.000 , IMG: 0.000 
X[186] -> REAL: 1258.000 , IMG: 792.000 
X[187] -> REAL: 0.000 , IMG: 0.000 
X[188] -> REAL: 275.001 , IMG: 1299.001 
X[189] -> REAL: 0.000 , IMG: 0.000 
X[190] -> REAL: 1514.000 , IMG: 536.000 
X[191] -> REAL: 0.000 , IMG: 0.000 
X[192] -> REAL: 254.262 , IMG: 1278.262 
X[193] -> REAL: 0.000 , IMG: 0.000 
X[194] -> REAL: 1050.000 , IMG: 1000.000 
X[195] -> REAL: 0.000 , IMG: 0.000 
X[196] -> REAL: 234.272 , IMG: 1258.272 
X[197] -> REAL: 0.000 , IMG: 0.000 
X[198] -> REAL: 1306.000 , IMG: 744.000 
X[199] -> REAL: 0.000 , IMG: 0.000 
X[200] -> REAL: 214.984 , IMG: 1238.984 
X[201] -> REAL: 0.000 , IMG: 0.000 
X[202] -> REAL: 1178.000 , IMG: 872.000 
X[203] -> REAL: 0.000 , IMG: 0.000 
X[204] -> REAL: 196.357 , IMG: 1220.357 
X[205] -> REAL: 0.000 , IMG: 0.000 
X[206] -> REAL: 1434.000 , IMG: 616.000 
X[207] -> REAL: 0.000 , IMG: 0.000 
X[208] -> REAL: 178.352 , IMG: 1202.352 
X[209] -> REAL: 0.000 , IMG: 0.000 
X[210] -> REAL: 1114.000 , IMG: 936.000 
X[211] -> REAL: 0.000 , IMG: 0.000 
X[212] -> REAL: 160.933 , IMG: 1184.933 
X[213] -> REAL: 0.000 , IMG: 0.000 
X[214] -> REAL: 1370.000 , IMG: 680.000 
X[215] -> REAL: 0.000 , IMG: 0.000 
